Designator,Mid X,Mid Y,Rotation,Layer,Val,Package
C1,116.83,-78.156,0,top,.1uF,C_0805_2012Metric
C2,142.23,-77.902,0,top,.1uF,C_0805_2012Metric
C3,135.56,-80.452,90,top,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD
C4,160.96,-80.452,90,top,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD
J1,127.94,-97.46,0,top,Power,PinSocket_1x08_P2.54mm_Vertical
J2,118.796,-49.2,0,top,Digital/PWM,PinSocket_1x10_P2.54mm_Vertical
J3,150.8,-97.46,0,top,Analog,PinSocket_1x06_P2.54mm_Vertical
J4,145.72,-49.2,0,top,Digital/PWM,PinSocket_1x08_P2.54mm_Vertical
J5,107.01,-72.208,180,top,Barrel_Jack_MountingPin,DC-IN-TH_DC-018
LR1,133.02,-61.9,180,top,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical
LR2,115.24,-74.6,0,top,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical
UD1,158.42,-61.9,180,top,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical
UD2,140.64,-74.6,0,top,Conn_01x08,PinSocket_1x08_P2.54mm_Vertical
X1,120.32,-83.236,0,top,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical
Y1,145.72,-83.236,0,top,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical
